Municipality,Region,Latitude,Longitude
Arecibo,North,18.455278,-66.723226
Barceloneta,North,18.45457,-66.538477
Camuy,North,18.483395,-66.849354
Dorado,North,18.454339,-66.286876
Florida,North,18.364214,-66.562966
Hatillo,North,18.415908,-66.795037
Manatí,North,18.430034,-66.472389
Toa Alta,North,18.388838,-66.249656
Vega Alta,North,18.414065,-66.319546
Vega Baja,North,18.441096,-66.399992
Bayamón,Metro,18.353683,-66.165951
Carolina,Metro,18.417478,-65.981105
Cataño,Metro,18.439959,-66.143242
Guaynabo,Metro,18.38586,-66.113298
San Juan,Metro,18.459261,-66.078038
Toa Baja,Metro,18.444918,-66.254534
Trujillo Alto,Metro,18.36123,-66.011017
Culebra,Culebra & Vieques,18.311797,-65.303921
Vieques,Culebra & Vieques,18.147012,-65.444401
Caguas,East,18.2345,-66.037064
Canóvanas,East,18.377761,-65.90465
Ceiba,East,18.264904,-65.648288
Fajardo,East,18.316338,-65.667694
Gurabo,East,18.251706,-65.987561
Humacao,East,18.148223,-65.81288
Juncos,East,18.226864,-65.917721
Las Piedras,East,18.177977,-65.869531
Loíza,East,18.431411,-65.880137
Luquillo,East,18.345325,-65.721497
Maunabo,East,18.006252,-65.90103
Naguabo,East,18.212012,-65.736874
Río Grande,East,18.378802,-65.83991
San Lorenzo,East,18.190159,-65.96663
Yabucoa,East,18.047476,-65.878932
Adjuntas,Central Mountains,18.164297,-66.724001
Aguas Buenas,Central Mountains,18.257826,-66.105304
Aibonito,Central Mountains,18.136286,-66.266596
Barranquitas,Central Mountains,18.184841,-66.309864
Cayey,Central Mountains,18.11336,-66.159206
Ciales,Central Mountains,18.336587,-66.468509
Cidra,Central Mountains,18.177281,-66.159205
Comerío,Central Mountains,18.220323,-66.22476
Corozal,Central Mountains,18.303772,-66.329152
Jayuya,Central Mountains,18.218589,-66.598339
Morovis,Central Mountains,18.326869,-66.405256
Naranjito,Central Mountains,18.302111,-66.246619
Orocovis,Central Mountains,18.22607,-66.391793
Utuado,Central Mountains,18.269542,-66.702997
Arroyo,South,17.999034,-66.055581
Coamo,South,18.076997,-66.363735
Guayama,South,18.016576,-66.130189
Guayanilla,South,18.023456,-66.790087
Juana Díaz,South,18.054255,-66.504801
Patillas,South,18.007045,-66.014494
Peñuelas,South,18.060216,-66.721204
Ponce,South,18.014087,-66.621427
Salinas,South,18.02172,-66.257125
Santa Isabel,South,17.993362,-66.38956
Villalba,South,18.129212,-66.47644
Aguada,West,18.380282,-67.188601
Aguadilla,West,18.423753,-67.153947
Añasco,West,18.286015,-67.140863
Cabo Rojo,West,18.087387,-67.147022
Guánica,West,17.970066,-66.930192
Hormigueros,West,18.145087,-67.122711
Isabela,West,18.49972,-67.02238
Lajas,West,18.046396,-67.058897
Lares,West,18.295159,-66.882761
Las Marías,West,18.238949,-66.985478
Maricao,West,18.183133,-66.981457
Mayagüez,West,18.206285,-67.099071
Moca,West,18.397325,-67.115802
Quebradillas,West,18.473246,-66.936778
Rincón,West,18.335442,-67.248675
Sabana Grande,West,18.082493,-66.968824
San Germán,West,18.081737,-67.042894
San Sebastián,West,18.335771,-66.993921
Yauco,West,18.035294,-66.863753
